date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:52:11	12083/12083	---MCZ	200	added ('OK')	text/html	date:Sat,%2013%20Nov%202021%2003:51:56%20GMT	https://pub1.pskt.io/c/mzzbjq	C:/My%20Web%20Sites/MediWallet/pub1.pskt.io/c/mzzbjq.html	(from )
14:52:12	1117/1117	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2013%20Nov%202021%2003:51:58%20GMT	https://pub1.pskt.io/robots.txt		(from )
14:52:12	141938/141938	---M--	200	added ('OK')	image/png	etag:%228137451dfcd485861f083d5676871dbe%22	https://cdn.pub1.passkit.io/images/4W2zQH3wp16NB7COgqbY3G/logo/logo.png	C:/My%20Web%20Sites/MediWallet/cdn.pub1.passkit.io/images/4W2zQH3wp16NB7COgqbY3G/logo/logo.png	(from https://pub1.pskt.io/c/mzzbjq)
14:52:13	159515/159515	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:09%20GMT	https://stackpath.bootstrapcdn.com/bootstrap/4.4.1/css/bootstrap.min.css	C:/My%20Web%20Sites/MediWallet/stackpath.bootstrapcdn.com/bootstrap/4.4.1/css/bootstrap.min.css	(from https://pub1.pskt.io/c/mzzbjq)
14:52:13	19239/19239	---MCZ	200	added ('OK')	text/css	etag:f907c76a	https://pub1.pskt.io/css/f907c76a.css	C:/My%20Web%20Sites/MediWallet/pub1.pskt.io/css/f907c76a.css	(from https://pub1.pskt.io/c/mzzbjq)
14:52:13	2079/2079	---MCZ	200	added ('OK')	text/css	etag:8690b790	https://pub1.pskt.io/css/8690b790.css	C:/My%20Web%20Sites/MediWallet/pub1.pskt.io/css/8690b790.css	(from https://pub1.pskt.io/c/mzzbjq)
14:52:14	5114/5114	---MCZ	200	added ('OK')	text/css	etag:croppie	https://pub1.pskt.io/css/croppie.css	C:/My%20Web%20Sites/MediWallet/pub1.pskt.io/css/croppie.css	(from https://pub1.pskt.io/c/mzzbjq)
14:52:14	9560/9560	---M--	200	added ('OK')	image/png	etag:%22aadbb73321284463f2bd982053b0d3c8%22	https://cdn.pub1.passkit.io/images/6KYHlDv1OquvacoNfjgEUz/icon/icon@3x.png	C:/My%20Web%20Sites/MediWallet/cdn.pub1.passkit.io/images/6KYHlDv1OquvacoNfjgEUz/icon/icon@3x.png	(from https://pub1.pskt.io/c/mzzbjq)
14:52:16	71037/71037	---M-Z	200	added ('OK')	application/javascript	etag:W/%225cca0c33-1157d%22	https://code.jquery.com/jquery-3.4.1.slim.min.js	C:/My%20Web%20Sites/MediWallet/code.jquery.com/jquery-3.4.1.slim.min.js	(from https://pub1.pskt.io/c/mzzbjq)
14:52:17	21257/21257	---M-Z	200	added ('OK')	application/javascript	etag:W/%225309-YvI45zNIx3656GVCan0bfeI8uy0%22	https://cdn.jsdelivr.net/npm/popper.js@1.16.0/dist/umd/popper.min.js	C:/My%20Web%20Sites/MediWallet/cdn.jsdelivr.net/npm/popper.js@1.16.0/dist/umd/popper.min.js	(from https://pub1.pskt.io/c/mzzbjq)
